model,target,study,n_test,rmse,mean_y_held_out
RF,T_C,"Nekvasil, H., Dondolini, A., Horn, J., Filiberto, J., Long, H., Lindsley, D.H. (2004) The origin and evolution of silica-saturated alkalic suites: an experimental study. Journal of Petrology 45 693-721",2,23.615023442167857,1020.0
RF,T_C,"Parman, S.W., Grove, T.L. (2004) Harzburgite melting with and without H2O: experimental data and predictive modeling. Journal of Geophysical Research 109 B02201",17,112.13941411114064,1326.4705882352941
RF,T_C,"Patiño Douce, A.E. (1995) Experimental generation of hybrid silicic melts by reaction of high-Al basalt with metamorphic rocks. Journal of Geophysical Research 100 15623-15639",3,160.14293323852414,1100.0
RF,T_C,"Patiño Douce, A.E., Beard, J.S. (1995) Dehydration-melting of biotite gneiss and quartz amphibolite from 3 to 15 kbar. Journal of Petrology 36 707-738",21,54.72575904487671,933.952380952381
RF,T_C,"Pichavant, M., Martel, C., Bourdier, J.-L., Scaillet, B. (2002) Physical conditions, structure, and dynamics of a zoned magma chamber: Mount Pelée (Martinique, Lesser Antilles Arc). Journal of Geophysical Research 107 1-25",3,130.09083014559732,1003.6666666666666
RF,T_C,"Pichavant, M., Mysen, B.O., MacDonald, R. (2002) Source and H2O content of high-MgO magmas in island arc settings: an experimental study of a primitive calc-alkaline basalt from St. Vincent, Lesser Antilles arc. Geochimica et Cosmochimica Acta 66 2193-2209",11,76.48547062668345,1218.1818181818182
RF,T_C,"Pickering-Witter, J., Johnston, A.D. (2000) The effects of variable bulk composition on the melting systematics of fertile peridotitic assemblages. Contributions to Mineralogy and Petrology 140 190-211",14,53.64438513990244,1316.4285714285713
RF,T_C,"Robinson, J.A.C., Wood, B.J., Blundy, J.D. (1998) The beginning of melting of fertile and depleted peridotite at 1.5 GPa. Earth and Planetary Science Letters 155 97-111",10,22.11204601753809,1314.6
RF,T_C,"Rosenthal, A., Hauri, E.H., Hirschmann, M.M. (2015) Experimental determination of C, F, and H partitioning between mantle minerals and carbonated basalt, CO2/Ba and CO2/Nb systematics of partial melting, and the CO2 contents of basaltic source regions. Earth and Planetary Science Letters 412 77-87",17,49.171570866203766,1356.4705882352941
RF,T_C,"Salters, V.J.M., Longhi, J. (1999) Trace element partitioning during the initial stages of melting beneath mid-ocean ridges. Earth and Planetary Science Letters 166 15-30",5,48.190804800727975,1531.0
RF,T_C,"Salters, V.J.M., Longhi, J.E., Bizimis, M. (2002) Near mantle solidus trace element partitioning at pressures up to 3.4 GPa. Geochemistry, Geophysics, Geosystems 3 41662",11,83.14223926000028,1605.2727272727273
RF,T_C,"Schwab, B.E., Johnston, A.D. (2001) Melting systematics of modally variable, compositionally intermediate peridotites and the effects of mineral fertility. Journal of Petrology 42 1789-1811",12,86.01410521948,1328.75
RF,T_C,"Skjerlie, K.P., Johnston, D. (1996) Vapour-absent melting from 10 to 20 kbar of crustal rocks that contain multiple hydrous phases: implications for anatexis in the deep to very deep continental crust and active continental margins. Journal of Petrology 37 661-691",6,48.41075738261352,954.1666666666666
RF,T_C,"Stolper, E. (1980) A Phase Diagram for Mid-Ocean Ridge Basalts: Preliminary Results and Implications for Petrogenesis. Contributions to Mineralogy and Petrology 74 13-27",3,68.65722393501285,1366.6666666666667
RF,T_C,"Sun, C., Liang, Y. (2013) Distribution of REE and HFSE between low-Ca pyroxene and lunar picritic melts around multiple saturation points. Geochimica et Cosmochimica Acta 119 340-358",6,50.77478861319455,1396.6666666666667
RF,T_C,"Takagi, D., Sato, H., Nakagawa, N. (2005) Experimental study of a low-alkali tholeiite at 1-5kbar:optimal condition for the crystalization of high-An plagioclase in hydrous arc tholeiite. Contrib Mineral Petrol 149 527-540",2,72.15544187487328,1125.0
RF,T_C,"Vander Auwera, J., Longhi, J. (1994) Experimental study of a jotunite (hypersthene monzodiorite): constraints on the parent magma composition and crystallization conditions (P, T, fO2) of the Bjerkreim-Sokndal layered intrusion (Norway). Contributions to Mineralogy and Petrology 118 60-78",10,81.06709050410815,1139.8
RF,T_C,"Villiger, S., Ulmer, P., Muntener, O., Thompson, A.B. (2004) The liquid line of descent of anhydrous, mantle-derived, tholeiitic liquids by fractional and equilibrium crystallization - an experimental study at 1.0 GPa. Journal of Geology 45 2369-2388",5,106.93949020583581,1162.0
RF,T_C,"Wagner, T.P., Grove, T.L. (1997) Experimental constraints on the origin of lunar high-Ti ultramafic glasses. Geochimica et Cosmochimica Acta 61 1315-1327",2,26.89874228553265,1422.5
RF,T_C,"Wagner, T.P., Grove, T.L. (1998) Melt/harzburgite reaction in the petrogenesis of tholeiitic magma from Kilauea volcano, Hawaii. Contributions to Mineralogy and Petrology 131 1-12",2,382.02684990347353,1087.5
RF,T_C,"Walter, M.J. (1998) Melting of garnet peridotite and the origin of komatiite and depleted lithosphere of komatiite and depleted lithosphere. Journal of Petrology 39 29-60",6,98.69546788151827,1633.3333333333333
RF,T_C,"Wang, J., Xiong, X., Takahashi, E., Zhang, L., Li, L., Liu, X. (2019) Oxidation state of arc mantle revealed by partitioning of V, Sc and Ti between mantle minerals and basaltic melts. Journal of Geophysical Research Solid Earth 124 4617– 4638",8,45.55689009643676,1217.5
RF,T_C,"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003) Near-solidus melting of the shallow upper mantle: partial melting experiments on depleted peridotite. Journal of Petrology 44 1163-1191",8,463.2184765023369,968.75
RF,T_C,"Xirouchakis, D., Hirschmann, M.M., Simpson, J. (2001) The effect of titanium on the silica content and on mineral-liquid partitioning of mantle-equilibrated melts. Geochimica et Cosmochimica Acta 65 2201-2217",5,272.0043491483633,1335.0
RF,T_C,"Yao, L., Sun, C., Liang, Y. (2012) A parameterized model for REE distribution between low-Ca pyroxene and basaltic melts with applications to REE partitioning in low-Ca pyroxene along a mantle adiabat and during pyroxenite-derived melt and peridotite interaction. Contributions to Mineralogy and Petrology 164 261-180",4,42.31682396526396,1413.75
